"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
3488,"Auto Terminations","Resignation","Human Resources Shared Services",2017-07-29,-1,1,"Melbourne",2017
3489,"Auto Terminations","Resignation","ANZ Logistics",2018-04-28,-1,1,"Melbourne",2018
3493,"Auto Terminations","Contract Expired","Human Resources Business Partnering",2018-03-01,-1,1,"Melbourne",2018
3494,"Auto Terminations","Non SAP Company Transfer","Furnace Design",2019-03-31,-1,1,"Melbourne",2019
3496,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2017-07-01,-1,1,"Melbourne",2017
3498,"Auto Terminations","Resignation","Cullet Operations",2017-10-03,-1,1,"Brisbane",2017
3499,"Auto Terminations","Resignation","Brisbane Cullet Pty Ltd",2017-04-17,-1,1,"Brisbane",2017
3501,"Auto Terminations","Resignation","Human Resources Brisbane",2018-12-01,-1,1,"Brisbane",2018
3502,"Auto Terminations","Resignation","Human Resources Shared Services",2018-12-19,-1,1,"Melbourne",2018
3504,"Auto Terminations","Resignation","Brisbane Cullet Pty Ltd",2017-05-29,-1,1,"Brisbane",2017
3509,"Auto Terminations","Dismissal","Reliability",2019-01-15,-1,1,"Adelaide",2019
3517,"Auto Terminations","Resignation","Human Resources Shared Services",2018-03-17,-1,1,"Melbourne",2018
3519,"Auto Terminations","Resignation","Logistics",2018-12-01,-1,1,"Melbourne",2018
3522,"Auto Terminations","Contract Expired","IT Operations",2018-07-14,-1,1,"Melbourne",2018
3528,"Auto Terminations","Contract Expired","Management Accounting",2017-11-30,-1,1,"Melbourne",2017
3531,"Auto Terminations","Retrenchment(2008+)","Change Management",2018-12-19,-1,1,"Melbourne",2018
3532,"Auto Terminations","Non SAP Company Transfer","Operational and Facilities Advancement",2018-07-01,-1,1,"Melbourne",2018
3535,"Auto Terminations","Retrenchment(2008+)","Learning and Development",2019-04-13,-1,1,"Melbourne",2019
3537,"Auto Terminations","Resignation","Brisbane Cullet",2017-11-04,-1,1,"Brisbane",2017
3538,"Auto Terminations","Resignation","Human Resources Shared Services",2018-02-21,-1,1,"Melbourne",2018
3539,"Auto Terminations","Resignation","Regional Procurement",2017-12-01,-1,1,"Melbourne",2017
3539,"Auto Terminations","Resignation","Regional Procurement",2017-12-01,-1,1,"Melbourne",2017
3543,"Auto Terminations","Resignation","Pricing O-I Asia Pacific",2018-02-23,-1,1,"Melbourne",2018
3544,"Auto Terminations","Contract Expired","Inspection & Packaging Engineering",2018-01-06,-1,1,"Brisbane",2018
3547,"Auto Terminations","Resignation","Project Quantum",2018-12-01,-1,1,"Melbourne",2018
3548,"Auto Terminations","Contract Expired","Quantum_RTR",2018-12-19,-1,1,"Melbourne",2018
3549,"Auto Terminations","Resignation","Human Resources Business Partnering",2018-01-06,-1,1,"Sydney",2018
3550,"Auto Terminations","Resignation","Quantum_OTC",2018-11-22,-1,1,"Melbourne",2018
3551,"Auto Terminations","Resignation","Process Improvement",2018-01-26,-1,1,"Melbourne",2018
3553,"Auto Terminations","Contract Expired","Change Management",2018-09-29,-1,1,"Melbourne",2018
3557,"Auto Terminations","Contract Expired","Quantum_PTP",2019-02-01,-1,1,"Melbourne",2019
3564,"Auto Terminations","Resignation","Electrical Engineering",2019-02-16,-1,1,"Melbourne",2019
3565,"Auto Terminations","Resignation","Shared Services",2018-01-27,-1,1,"Melbourne",2018
3567,"Auto Terminations","Contract Expired","Communications",2019-02-01,-1,1,"Melbourne",2019
3569,"Auto Terminations","Dismissal","Shift D",2017-10-14,-1,1,"Melbourne",2017
3575,"Auto Terminations","Resignation","Project Quantum",2018-04-18,-1,1,"Melbourne",2018
3578,"Auto Terminations","Resignation","ANZ Planning",2019-05-15,-1,1,"Melbourne",2019
3579,"Auto Terminations","Resignation","UPM",2019-04-27,-1,1,"Adelaide",2019
3581,"Auto Terminations","Abandonment","Plant Maintenance",2018-01-02,-1,1,"Brisbane",2018
3582,"Auto Terminations","Resignation","Quantum_PTP",2018-09-26,-1,1,"Melbourne",2018
3584,"Auto Terminations","Resignation","Regional EHS",2018-11-10,-1,1,"Melbourne",2018
3585,"Auto Terminations","Resignation","Accounts Payable",2018-07-18,-1,1,"Melbourne",2018
3588,"Auto Terminations","Resignation","ANZ Finance",2018-06-02,-1,1,"Melbourne",2018
3590,"Auto Terminations","Resignation","Brisbane Cullet",2019-01-16,-1,1,"Brisbane",2019
3592,"Auto Terminations","Contract Expired","Change Management",2018-12-11,-1,1,"Melbourne",2018
3593,"Auto Terminations","Dismissal","D Shift",2018-03-06,-1,1,"Adelaide",2018
3595,"Auto Terminations","Dismissal","Shift B",2019-01-08,-1,1,"Melbourne",2019
3596,"Auto Terminations","Resignation","Strategic Sourcing and Demand",2018-10-06,-1,1,"Adelaide",2018
3599,"Auto Terminations","Non SAP Company Transfer","Quantum_IT",2018-12-14,-1,1,"Melbourne",2018
3600,"Auto Terminations","Resignation","Shift C",2019-04-30,-1,1,"Adelaide",2019
3609,"Auto Terminations","Contract Expired","Process Improvement",2018-11-03,-1,1,"Melbourne",2018
3612,"Auto Terminations","Resignation","Human Resources Shared Services",2018-12-19,-1,1,"Melbourne",2018
3613,"Auto Terminations","Resignation","Plant Controls Sydney",2018-08-08,-1,1,"Sydney",2018
3617,"Auto Terminations","Resignation","Quantum_OTC",2018-03-09,-1,1,"Melbourne",2018
3618,"Auto Terminations","Resignation","Shared Services",2018-03-29,-1,1,"Melbourne",2018
3620,"Auto Terminations","Resignation","Pricing O-I Asia Pacific",2018-09-19,-1,1,"Melbourne",2018
3626,"Auto Terminations","Contract Expired","Quantum_IT",2018-12-01,-1,1,"Melbourne",2018
3636,"Auto Terminations","Resignation","Human Resources Business Partnering",2018-05-26,-1,1,"Sydney",2018
3642,"Auto Terminations","Resignation","Shared Services",2018-08-11,-1,1,"Melbourne",2018
3645,"Auto Terminations","Contract Expired","Change Management",2018-12-19,-1,1,"Melbourne",2018
3647,"Auto Terminations","Resignation","Plant Controls Brisbane",2018-12-08,-1,1,"Brisbane",2018
3656,"Auto Terminations","Resignation","Maintenance Planning",2019-01-12,-1,1,"Brisbane",2019
3657,"Auto Terminations","Contract Expired","IT Operations",2019-06-22,-1,1,"Melbourne",2019
3662,"Auto Terminations","Non SAP Company Transfer","Quantum_IT",2019-02-28,-1,1,"Melbourne",2019
3663,"Auto Terminations","Resignation","IS Repair",2019-01-05,-1,1,"Brisbane",2019
3679,"Auto Terminations","Contract Expired","Technical Services",2019-03-30,-1,1,"Brisbane",2019
3680,"Auto Terminations","Contract Expired","Batch & Furnace",2019-01-03,-1,1,"Melbourne",2019
3682,"Auto Terminations","Resignation","Adelaide Plant",2019-04-06,-1,1,"Adelaide",2019
3683,"Auto Terminations","Resignation","Adelaide Plant",2019-04-06,-1,1,"Adelaide",2019
3689,"Auto Terminations","Resignation","Management Accounting",2019-05-09,-1,1,"Melbourne",2019
3698,"Auto Terminations","Resignation","Shift C",2019-02-23,-1,1,"Adelaide",2019
3716,"Auto Terminations","Dismissal","Shift C",2019-06-08,-1,1,"Melbourne",2019
3722,"Auto Terminations","Resignation","IS Repair",2019-05-04,-1,1,"Melbourne",2019
3741,"Auto Terminations","Resignation","Shift C",2019-06-30,-1,1,"Adelaide",2019
90000024,"Termination (HR checklist)","Retirement (age)","Distribution",2008-08-01,-1,1,"Jakarta",2008
90000070,"Termination (HR checklist)","Retrenchment","Finance",2003-04-01,-1,1,"Jakarta",2003
90000079,"Termination (HR checklist)","Retirement (age)","Machine Maintenance",2005-01-01,-1,1,"Jakarta",2005
90000084,"Termination (HR checklist)","Retirement (age)","Manufacturing",2011-05-01,-1,1,"Jakarta",2011
90000086,"Termination (HR checklist)","Retrenchment","Human Resources",2003-04-01,-1,1,"Jakarta",2003
90000087,"Termination (HR checklist)","Retirement (age)","PT Kangar Consolidated Industries",2009-02-01,-1,1,"Jakarta",2009
90000089,"Termination (HR checklist)","Contract Expired","Marketing & Sales",2003-01-01,-1,1,"Jakarta",2003
90000102,"Termination (HR checklist)","Retrenchment","Finance",2003-04-01,-1,1,"Jakarta",2003
90000104,"Termination (HR checklist)","Retirement (age)","Marketing & Sales",2002-03-01,-1,1,"Jakarta",2002
90000110,"Termination (HR checklist)","Retirement (age)","Finance",2005-07-01,-1,1,"Jakarta",2005
90000116,"Termination (HR checklist)","Retirement (age)","Marketing & Sales",2009-01-01,-1,1,"Jakarta",2009
90000117,"Termination (HR checklist)","Retirement (age)","Human Resources",2003-10-01,-1,1,"Jakarta",2003
90000121,"Termination (HR checklist)","Retrenchment","Purchasing",2003-04-01,-1,1,"Jakarta",2003
90000123,"Termination (HR checklist)","Retrenchment","PT Kangar Consolidated Industries",2003-04-01,-1,1,"Jakarta",2003
90000124,"Termination (HR checklist)","Retrenchment","Finance",2003-04-01,-1,1,"Jakarta",2003
90000130,"Termination (HR checklist)","Resignation","Purchasing",2002-02-16,-1,1,"Jakarta",2002
90000131,"Termination (HR checklist)","Resignation","Marketing & Sales",2003-01-01,-1,1,"Jakarta",2003
90000134,"Termination (HR checklist)","Retrenchment","Marketing & Sales",2004-05-01,-1,1,"Jakarta",2004
90000140,"Termination (HR checklist)","Resignation","Marketing & Sales",2005-05-01,-1,1,"Jakarta",2005
90000141,"Termination (HR checklist)","Retirement (age)","Human Resources",2016-06-01,-1,1,"Jakarta",2016
90000142,"Termination (HR checklist)","Resignation","Marketing & Sales",2012-12-01,-1,1,"Jakarta",2012
90000143,"Termination (HR checklist)","Retirement (age)","PT Kangar Consolidated Industries",2018-10-01,-1,1,"Jakarta",2018
90000144,"Termination (HR checklist)","Resignation","Human Resources",2009-07-01,-1,1,"Jakarta",2009
90000145,"Termination (HR checklist)","Retrenchment","Finance",2017-01-01,-1,1,"Jakarta",2017
90000146,"Termination (HR checklist)","Dismissal","PT Kangar Consolidated Industries",2011-09-01,-1,1,"Jakarta",2011
90000148,"Termination (HR checklist)","Resignation","Marketing & Sales",2006-05-01,-1,1,"Jakarta",2006
90000150,"Termination (HR checklist)","Resignation","Quality Service",2006-10-22,-1,1,"Jakarta",2006
90000151,"Termination (HR checklist)","Resignation","Production Planning Inventory Control",2010-06-01,-1,1,"Jakarta",2010
90000154,"Termination (HR checklist)","Retrenchment","Finance",2014-08-01,-1,1,"Jakarta",2014
90000155,"Termination (HR checklist)","Resignation","Finance",2002-06-23,-1,1,"Jakarta",2002
90000157,"Termination (HR checklist)","Resignation","Human Resources",2004-02-16,-1,1,"Jakarta",2004
90000158,"Termination (HR checklist)","Resignation","Finance",2010-02-01,-1,1,"Jakarta",2010
90001012,"Termination (HR checklist)","Retirement (age)","Mould Shop/R & D",2005-12-01,-1,1,"Jakarta",2005
90001019,"Termination (HR checklist)","Retirement (age)","Distribution",2008-02-01,-1,1,"Jakarta",2008
90001023,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90001045,"Termination (HR checklist)","Retirement (age)","Mould Shop",2013-10-01,-1,1,"Jakarta",2013
90001054,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001064,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001065,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001068,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001069,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001071,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001072,"Termination (HR checklist)","Retrenchment","Human Resources",2003-04-01,-1,1,"Jakarta",2003
90001073,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001080,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001086,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90001087,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90001088,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90001091,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001092,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001093,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001096,"Termination (HR checklist)","Retrenchment","Canteen",2005-03-05,-1,1,"Jakarta",2005
90001097,"Termination (HR checklist)","Dismissal","""D"" Shift Hot End",2008-10-01,-1,1,"Jakarta",2008
90001099,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90002005,"Termination (HR checklist)","Retirement (age)","Batch & Furnace",2004-12-01,-1,1,"Jakarta",2004
90002006,"Termination (HR checklist)","Illness / Disability","Batch & Furnace",2003-03-01,-1,1,"Jakarta",2003
90002010,"Termination (HR checklist)","Retirement (age)","Batch & Furnace",2011-07-01,-1,1,"Jakarta",2011
90002015,"Termination (HR checklist)","Retirement (age)","""D"" Shift Cold End",2011-06-01,-1,1,"Jakarta",2011
90002018,"Termination (HR checklist)","Retirement (age)","Batch & Furnace",2010-04-01,-1,1,"Jakarta",2010
90002021,"Termination (HR checklist)","Contract Expired","Batch & Furnace",2006-10-01,-1,1,"Jakarta",2006
90002028,"Termination (HR checklist)","Retirement (age)","Job Change",2009-01-01,-1,1,"Jakarta",2009
90002030,"Termination (HR checklist)","Retirement (age)","Human Resources",2006-02-01,-1,1,"Jakarta",2006
90002031,"Termination (HR checklist)","Retrenchment","Finished Products",2004-05-01,-1,1,"Jakarta",2004
90002034,"Termination (HR checklist)","Retirement (age)","B' Shift - Forming",2005-08-01,-1,1,"Jakarta",2005
90002035,"Termination (HR checklist)","Retirement (age)","Production Planning Inventory Control",2006-10-01,-1,1,"Jakarta",2006
90002040,"Termination (HR checklist)","Retirement (age)","Shift Operation ""C""",2010-02-01,-1,1,"Jakarta",2010
90002042,"Termination (HR checklist)","Retirement (age)","Shift Operation ""D""",2008-01-01,-1,1,"Jakarta",2008
90002043,"Termination (HR checklist)","Retirement (age)","B' Shift - Forming",2003-09-01,-1,1,"Jakarta",2003
90002044,"Termination (HR checklist)","Retirement (age)","Job Change",2008-11-17,-1,1,"Jakarta",2008
90002045,"Termination (HR checklist)","Retirement (age)","Forming",2009-02-01,-1,1,"Jakarta",2009
90002049,"Termination (HR checklist)","Retirement (age)","Forming Development",2009-07-01,-1,1,"Jakarta",2009
90002051,"Termination (HR checklist)","Dismissal","C' Shift - Forming",2004-02-01,-1,1,"Jakarta",2004
90002052,"Termination (HR checklist)","Retirement (age)","B' Shift - Forming",2006-06-01,-1,1,"Jakarta",2006
90002054,"Termination (HR checklist)","Retirement (age)","Manufacturing",2006-07-01,-1,1,"Jakarta",2006
90002055,"Termination (HR checklist)","Retirement (age)","Mould Shop/R & D",2006-11-01,-1,1,"Jakarta",2006
90002056,"Termination (HR checklist)","Retirement (age)","Mechanical Engineering",2008-03-01,-1,1,"Jakarta",2008
90002058,"Termination (HR checklist)","Dismissal","C' Shift - Forming",2003-12-01,-1,1,"Jakarta",2003
90002060,"Termination (HR checklist)","Retirement (age)","Annealing Coating Lehr",2008-06-01,-1,1,"Jakarta",2008
90002061,"Termination (HR checklist)","Retirement (age)","Shift Operation ""A""",2007-09-01,-1,1,"Jakarta",2007
90002063,"Termination (HR checklist)","Retirement (age)","B' Shift - Forming",2002-04-01,-1,1,"Jakarta",2002
90002072,"Termination (HR checklist)","Retirement (age)","Quality Service",2010-08-01,-1,1,"Jakarta",2010
90002075,"Termination (HR checklist)","Retirement (age)","Quality Service",2007-05-01,-1,1,"Jakarta",2007
90002081,"Termination (HR checklist)","Retirement (age)","""B"" Shift Cold End",2008-11-01,-1,1,"Jakarta",2008
90002084,"Termination (HR checklist)","Retrenchment","Security",2003-02-06,-1,1,"Jakarta",2003
90002085,"Termination (HR checklist)","Retirement (age)","Inspection & Packing",2006-05-01,-1,1,"Jakarta",2006
90002088,"Termination (HR checklist)","Retirement (age)","Batch & Furnace",2006-10-01,-1,1,"Jakarta",2006
90002094,"Termination (HR checklist)","Retirement (age)","C'Shift - Inspection & Packing",2005-01-01,-1,1,"Jakarta",2005
90002095,"Termination (HR checklist)","Retirement (age)","Quality Service",2007-09-01,-1,1,"Jakarta",2007
90002099,"Termination (HR checklist)","Retirement (age)","Production",2007-07-01,-1,1,"Jakarta",2007
90002103,"Termination (HR checklist)","Retirement (age)","Quality Service",2009-12-01,-1,1,"Jakarta",2009
90002104,"Termination (HR checklist)","Retirement (age)","Quality Service",2007-09-01,-1,1,"Jakarta",2007
90002107,"Termination (HR checklist)","Retirement (age)","Quality Assurance",2004-10-01,-1,1,"Jakarta",2004
90002108,"Termination (HR checklist)","Retirement (age)","Quality Service",2006-10-01,-1,1,"Jakarta",2006
90002111,"Termination (HR checklist)","Retirement (age)","A'Shift - Inspection & Packing",2004-07-01,-1,1,"Jakarta",2004
90002112,"Termination (HR checklist)","Retirement (age)","D'Shift - Inspection & Packing",2005-05-01,-1,1,"Jakarta",2005
90002121,"Termination (HR checklist)","Retirement (age)","Human Resources",2003-03-01,-1,1,"Jakarta",2003
90002125,"Termination (HR checklist)","Retirement (age)","Annealing Coating Lehr",2007-07-01,-1,1,"Jakarta",2007
90002126,"Termination (HR checklist)","Retirement (age)","Cold End Support",2006-08-01,-1,1,"Jakarta",2006
90002133,"Termination (HR checklist)","Retirement (age)","A'Shift - Inspection & Packing",2006-01-01,-1,1,"Jakarta",2006
90002135,"Termination (HR checklist)","Retirement (age)","Annealing Coating Lehr",2006-11-01,-1,1,"Jakarta",2006
90002139,"Termination (HR checklist)","Retirement (age)","Job Change",2009-02-01,-1,1,"Jakarta",2009
90002140,"Termination (HR checklist)","Retirement (age)","""C"" Shift Cold End",2007-02-01,-1,1,"Jakarta",2007
90002142,"Termination (HR checklist)","Retirement (age)","""D"" Shift Cold End",2009-06-01,-1,1,"Jakarta",2009
90002149,"Termination (HR checklist)","Retirement (age)","Annealing Coating Lehr",2009-01-01,-1,1,"Jakarta",2009
90002153,"Termination (HR checklist)","Contract Expired","Annealing Coating Lehr",2006-10-01,-1,1,"Jakarta",2006
90002156,"Termination (HR checklist)","Retirement (age)","Job Change",2005-01-01,-1,1,"Jakarta",2005
